IDimpacto_humano;Deaths;Injured;Missing
82001;0;0;0
82101;0;0;20
82201;0;0;0
82301;0;0;0
82401;0;40;0
82501;0;0;0
82601;40;0;0
82701;0;0;0
82801;0;0;0
82901;20;0;0
83001;0;60;0
83101;0;0;0
83201;0;0;0
83301;0;0;0
83401;0;0;0
83501;0;0;0
83601;0;0;0
83701;0;0;0
83801;0;0;0
83901;0;0;0
84001;0;50;0
84101;0;0;0
84201;0;0;0
84301;0;0;0
84401;0;0;0
84501;0;20;0
84601;0;0;0
84701;0;0;0
84801;50;0;0
84901;0;0;0
85001;0;0;0
85101;0;90;0
85201;0;0;0
85301;0;0;0
85401;0;0;20
85501;0;0;0
85601;0;0;0
85701;0;0;40
85801;0;0;0
85901;10;0;0
86001;30;20;0
86101;30;20;0
86201;110;20;0
86301;10;50;10
86401;0;0;0
86501;0;0;0
86601;0;0;0
86701;0;0;0
86801;0;0;0
86901;0;0;0
87001;0;0;0
87101;0;0;0
87201;0;10;0
87301;0;30;0
87401;0;0;0
87501;0;0;0
87601;0;0;0
87701;0;0;0
87801;0;0;0
87901;0;0;0
88001;0;0;0
88101;0;0;0
88201;0;0;0
88301;0;0;0
88401;0;0;0
88501;0;0;0
88601;0;0;0
88701;0;0;0
88801;0;0;0
88901;20;0;0
89001;0;0;0
89101;0;0;0
89201;0;0;0
89301;0;0;0
89401;0;0;0
89501;0;0;0
89601;30;90;0
89701;0;0;0
89801;0;0;0
89901;0;0;0
90001;10;0;10
90101;0;0;0
90201;0;0;0
90301;0;0;0
90401;0;0;0
90501;0;40;0
90601;0;0;0
90701;0;0;0
90801;0;10;0
90901;0;0;0
91001;0;0;0
91101;0;0;0
91201;0;0;0
91301;0;70;0
91401;50;50;0
91501;0;0;0
91601;10;0;0
91701;0;0;0
91801;0;0;0
91901;0;0;0
92001;10;30;0
92101;0;0;0
92201;0;0;0
92301;0;0;0
92401;0;0;0
92501;0;0;0
92601;0;0;0
92701;0;0;0
92801;0;0;0
92901;0;0;0
93001;0;0;0
93101;0;0;0
93201;0;0;0
93301;0;0;0
93401;0;0;0
93501;0;40;0
93601;0;0;0
93701;0;0;0
93801;0;0;0
93901;0;0;0
94001;0;0;0
94101;10;0;0
94201;0;0;0
94301;0;0;0
94401;0;0;0
94501;0;0;0
94601;0;0;0
94701;0;0;0
94801;0;0;0
94901;0;0;0
95001;0;0;0
95101;0;0;0
95201;0;0;0
95301;0;0;0
95401;0;0;0
95501;0;0;0
95601;0;0;0
95701;0;0;0
95801;0;0;0
95901;0;0;0
96001;0;0;0
96101;0;0;0
96201;0;0;0
96301;0;0;0
96401;0;0;0
96501;0;0;0
96601;0;0;0
96701;0;0;0
96801;0;0;0
96901;0;0;0
97001;0;0;0
97101;0;0;0
97201;0;0;0
97301;0;0;0
97401;0;0;0
97501;0;0;0
97601;20;30;10
97701;0;0;0
97801;0;0;0
97901;0;0;0
98001;0;0;0
98101;0;0;0
98201;0;0;0
98301;0;0;0
98401;0;10;0
98501;0;0;0
98601;0;0;0
98701;0;0;0
98801;0;0;0
98901;0;0;0
99001;0;0;0
99101;10;20;0
99201;0;0;0
99301;0;0;0
99401;0;40;0
99501;0;0;0
99601;0;0;0
99701;0;0;0
99801;0;0;0
99901;0;0;0
100001;0;0;0
100101;0;0;0
100201;0;0;0
100301;0;0;0
100401;0;0;0
100501;0;0;0
100601;10;20;0
100701;0;10;0
100801;0;0;0
100901;0;0;0
101001;0;0;0
101101;0;0;0
101201;20;20;0
101301;0;0;0
101401;0;0;0
101501;0;0;0
101601;0;0;0
101701;0;0;0
101801;0;0;0
101901;0;0;0
102001;0;0;0
102101;0;0;0
102201;0;0;0
102301;0;0;0
102401;0;0;0
102501;0;0;0
102601;0;0;0
102701;0;0;0
102801;0;0;0
102901;0;0;0
103001;0;0;0
103101;0;0;0
103201;0;10;0
103301;0;0;0
103401;0;0;0
103501;0;0;0
103601;0;0;0
103701;0;0;0
103801;0;0;0
103901;0;0;0
104001;0;0;0
104101;0;0;0
104201;0;0;0
104301;0;0;0
104401;0;0;0
104501;0;0;0
104601;0;0;0
104701;20;0;0
104801;0;0;0
104901;0;0;0
105001;0;0;0
105101;20;10;0
105201;0;0;0
105301;0;0;0
105401;0;0;0
105501;0;0;0
105601;0;0;0
105701;0;0;0
105801;0;0;0
105901;0;0;0
106001;20;0;0
106101;0;0;0
106201;0;0;0
106301;0;0;0
106401;0;0;0
106501;0;0;0
106601;0;0;0
106701;0;0;0
106801;0;0;0
106901;0;0;0
107001;20;0;0
107101;0;0;0
107201;0;0;0
107301;0;0;0
107401;0;0;0
107501;0;0;0
107601;0;0;0
107701;0;0;0
107801;0;0;0
107901;0;0;0
108001;0;0;0
108101;0;0;0
108201;0;0;0
108301;20;0;0
108401;0;0;0
108501;0;0;0
108601;10;0;0
108701;0;0;0
108801;10;10;0
108901;0;0;0
109001;10;10;0
109101;0;0;0
109201;0;0;0
109301;0;0;0
109401;0;0;0
109501;30;0;0
109601;0;0;0
109701;0;0;0
109801;0;0;0
109901;0;0;0
110001;0;0;0
110101;0;0;0
110201;0;0;0
110301;0;0;0
110401;0;0;0
110501;0;0;0
110601;0;0;0
110701;0;0;0
110801;0;0;0
110901;0;0;0
111001;0;0;0
111101;0;0;0
111201;0;0;0
111301;0;0;0
111401;0;0;0
111501;0;0;0
111601;0;0;0
111701;0;0;0
111801;0;230;0
111901;0;0;0
112001;0;0;0
112101;0;0;0
112201;0;0;0
112301;0;0;0
112401;0;0;0
112501;0;0;0
112601;0;0;0
112701;0;0;0
112801;0;0;0
112901;0;0;0
113001;0;0;0
113101;0;0;0
113201;0;20;0
113301;10;10;0
113401;0;0;0
113501;10;0;0
113601;0;0;0
113701;0;0;0
113801;0;0;0
113901;0;0;0
114001;0;0;0
114101;0;0;0
114201;0;0;0
114301;10;0;0
114401;0;0;0
114501;0;0;0
114601;0;0;0
114701;0;0;0
114801;0;0;0
114901;0;0;0
115001;10;10;0
115101;0;40;0
115201;0;0;0
115301;0;0;10
115401;0;0;0
115501;0;0;0
115601;0;20;0
115701;0;0;0
115801;0;0;0
115901;0;10;0
116001;0;0;0
116101;0;0;0
116201;0;0;0
116301;0;0;0
116401;0;0;0
116501;0;0;0
116601;0;0;0
116701;0;0;0
116801;0;0;0
116901;0;10;0
117001;0;0;0
117101;0;0;0
117201;0;0;0
117301;0;0;0
117401;0;0;0
117501;0;0;0
117601;0;0;0
117701;0;0;0
117801;0;0;0
117901;90;10;0
118001;0;0;20
118101;20;0;0
118201;0;0;0
118301;0;0;0
118401;0;0;0
118501;0;0;0
118601;0;0;0
118701;0;0;0
118801;0;0;0
118901;0;0;0
119001;0;0;0
119101;0;0;0
119201;60;0;0
119301;0;0;0
119401;0;0;0
119501;0;0;0
119601;0;0;0
119701;0;0;0
119801;0;0;0
119901;0;0;0
120001;0;0;0
120101;10;20;0
120201;0;0;0
120301;0;0;0
120401;10;0;0
120501;0;0;0
120601;0;0;0
120701;30;20;0
120801;0;0;0
120901;0;0;0
121001;0;0;0
121101;0;0;0
121201;0;0;0
121301;10;20;0
121401;0;0;0
121501;0;0;0
121601;0;0;0
121701;0;0;0
121801;0;0;0
121901;0;0;0
122001;0;60;0
122101;0;0;0
122201;0;0;0
122301;0;0;0
122401;0;0;0
122501;0;0;0
122601;0;0;0
122701;0;0;0
122801;0;0;0
122901;10;0;0
123001;0;0;0
123101;0;0;0
123201;0;10;0
123301;0;0;0
123401;0;0;0
123501;0;0;0
123601;10;20;0
123701;0;0;0
123801;0;0;0
123901;0;0;0
124001;0;0;0
124101;0;0;0
124201;0;0;0
124301;0;0;0
124401;0;50;0
124501;0;0;0
124601;0;0;0
124701;0;0;0
124801;20;0;0
124901;10;10;0
125001;20;0;0
125101;0;0;0
125201;0;0;0
125301;10;0;0
125401;0;0;0
125501;0;0;0
125601;0;0;0
125701;0;0;0
125801;0;0;0
125901;20;30;0
126001;0;0;0
126101;0;0;0
126201;0;0;0
126301;0;0;0
126401;0;0;0
126501;0;0;0
126601;0;0;0
126701;0;0;0
126801;0;0;0
126901;40;0;0
127001;0;0;0
127101;0;0;0
127201;0;0;0
127301;0;0;0
127401;0;0;0
127501;0;0;0
127601;0;0;0
127701;0;0;0
127801;40;0;0
127901;20;0;0
128001;0;0;0
128101;10;10;0
128201;10;0;0
128301;0;0;0
128401;0;0;0
128501;0;0;0
128601;0;0;0
128701;0;0;0
128801;0;0;0
128901;0;0;0
129001;0;0;0
129101;0;0;0
129201;0;0;0
129301;10;30;0
129401;0;0;0
129501;0;0;0
129601;0;0;0
129701;0;0;10
129801;10;10;0
129901;0;0;0
130001;0;1350;0
130101;0;0;0
130201;0;0;0
130301;0;0;0
130401;0;0;0
130501;730;0;0
130601;0;0;0
130701;0;0;0
130801;0;0;0
130901;0;0;0
131001;0;0;0
131101;30;0;0
131201;10;0;0
131301;0;0;0
131401;830;100;380
131501;0;0;0
131601;0;0;0
131701;0;0;0
131801;10;0;0
131901;40;0;0
132001;0;10;0
132101;0;0;0
132201;0;60;0
132301;40;0;0
132401;0;0;0
132501;0;0;0
132601;0;0;0
132701;0;0;0
132801;0;0;0
132901;10;10;0
133001;0;0;0
133101;30;0;0
133201;0;0;0
133301;0;0;0
