IDimpacto_material;Houses Destroyed;Houses Damaged
80402;0;0
80502;0;0
80602;0;0
80702;0;0
80802;0;0
80902;0;0
81002;0;0
81102;0;0
81202;0;0
81302;0;0
81402;0;0
81502;0;0
81602;0;0
81702;0;400
81802;0;6700
81902;0;0
82002;0;0
82102;0;0
82202;0;0
82302;0;0
82402;0;40
82502;0;0
82602;0;0
82702;0;0
82802;0;130
82902;0;0
83002;0;0
83102;0;3000
83202;0;0
83302;0;0
83402;0;30
83502;0;20
83602;10;520
83702;0;1450
83802;10;0
83902;10;0
84002;0;0
84102;0;10
84202;0;60
84302;0;0
84402;0;0
84502;10;0
84602;30;0
84702;0;0
84802;10;0
84902;0;120
85002;0;800
85102;0;90
85202;0;50
85302;10;290
85402;0;4200
85502;10;0
85602;0;50
85702;0;0
85802;0;0
85902;0;0
86002;0;0
86102;0;0
86202;0;0
86302;0;0
86402;0;140
86502;0;360
86602;0;200
86702;0;40
86802;0;500
86902;0;40
87002;0;550
87102;10;20
87202;0;0
87302;0;0
87402;0;1500
87502;0;0
87602;0;0
87702;0;160
87802;0;0
87902;80;400
88002;0;600
88102;0;0
88202;0;60
88302;0;10
88402;10;50
88502;0;30
88602;0;100
88702;0;1500
88802;0;0
88902;0;0
89002;0;90
89102;0;0
89202;0;20
89302;0;490
89402;0;0
89502;0;0
89602;0;0
89702;0;0
89802;0;880
89902;0;0
90002;0;0
90102;20;40
90202;0;0
90302;0;2320
90402;0;20
90502;0;0
90602;10;120
90702;0;140
90802;0;210
90902;0;0
91002;0;100
91102;0;500
91202;0;0
91302;0;10
91402;0;0
91502;0;260
91602;10;0
91702;0;0
91802;0;200
91902;0;0
92002;0;0
92102;0;0
92202;10;0
92302;0;0
92402;0;5100
92502;10;10
92602;0;0
92702;0;400
92802;0;460
92902;0;0
93002;10;0
93102;10;30
93202;0;10
93302;0;770
93402;0;0
93502;0;10
93602;0;0
93702;20;0
93802;0;60
93902;0;30
94002;30;70
94102;0;0
94202;30;0
94302;0;1120
94402;0;50
94502;0;100
94602;0;390
94702;0;70
94802;0;0
94902;50;0
95002;0;2500
95102;10;70
95202;130;0
95302;0;610
95402;0;0
95502;0;30
95602;0;730
95702;0;0
95802;20;790
95902;0;0
96002;0;1250
96102;0;510
96202;0;20
96302;0;0
96402;0;0
96502;0;0
96602;0;0
96702;0;0
96802;0;0
96902;0;20
97002;10;0
97102;30;0
97202;0;0
97302;0;350
97402;0;250
97502;0;0
97602;0;0
97702;0;0
97802;0;0
97902;0;0
98002;0;0
98102;0;0
98202;0;0
98302;0;0
98402;0;0
98502;0;0
98602;0;0
98702;0;0
98802;0;0
98902;0;0
99002;0;0
99102;10;0
99202;0;0
99302;0;0
99402;0;0
99502;0;0
99602;0;0
99702;10;0
99802;0;0
99902;0;0
100002;0;0
100102;0;0
100202;0;0
100302;0;0
100402;0;0
100502;0;0
100602;10;0
100702;0;20
100802;0;0
100902;0;0
101002;0;310
101102;0;0
101202;0;20
101302;0;10
101402;0;0
101502;0;0
101602;0;0
101702;0;0
101802;0;0
101902;0;120
102002;0;600
102102;10;0
102202;0;0
102302;0;2000
102402;0;0
102502;0;0
102602;0;130
102702;0;500
102802;0;0
102902;0;500
103002;0;200
103102;0;2000
103202;0;6200
103302;0;250
103402;0;0
103502;0;3000
103602;0;0
103702;0;0
103802;0;7550
103902;0;10000
104002;0;300
104102;0;1600
104202;0;500
104302;0;10
104402;0;500
104502;0;150
104602;0;500
104702;0;0
104802;0;300
104902;0;0
105002;0;0
105102;0;0
105202;0;3200
105302;60;280
105402;0;0
105502;50;1500
105602;0;0
105702;0;0
105802;0;0
105902;0;0
106002;0;0
106102;0;0
106202;0;900
106302;70;600
106402;0;400
106502;0;3000
106602;0;0
106702;0;150
106802;0;300
106902;0;140
107002;20;0
107102;0;7000
107202;0;0
107302;0;1200
107402;0;1410
107502;0;0
107602;0;0
107702;0;80
107802;0;170
107902;0;1560
108002;0;0
108102;0;200
108202;0;100
108302;10;50
108402;0;0
108502;30;0
108602;0;0
108702;0;70
108802;0;0
108902;0;100
109002;10;10
109102;0;0
109202;0;0
109302;0;250
109402;0;10
109502;10;0
109602;0;2870
109702;0;0
109802;0;0
109902;0;0
110002;10;30
110102;0;0
110202;0;10
110302;0;430
110402;0;0
110502;0;0
110602;0;0
110702;0;5000
110802;0;0
110902;0;0
111002;0;0
111102;0;0
111202;0;0
111302;0;0
111402;0;0
111502;0;10
111602;0;150
111702;0;2310
111802;0;10
111902;0;0
112002;0;0
112102;0;0
112202;0;0
112302;0;0
112402;0;0
112502;0;0
112602;0;0
112702;0;0
112802;0;0
112902;0;0
113002;0;0
113102;0;0
113202;0;0
113302;0;0
113402;150;150
113502;0;100
113602;0;0
113702;0;10
113802;0;0
113902;0;0
114002;0;10
114102;0;0
114202;0;0
114302;0;0
114402;0;0
114502;0;0
114602;0;0
114702;0;0
114802;0;0
114902;0;10
115002;0;0
115102;0;10
115202;0;0
115302;0;450
115402;0;3000
115502;30;200
115602;10;50
115702;30;40
115802;0;0
115902;0;0
116002;0;150
116102;180;0
116202;10;3490
116302;0;2000
116402;60;500
116502;40;0
116602;0;800
116702;0;200
116802;0;0
116902;0;10
117002;0;10000
117102;0;20000
117202;0;700
117302;0;500
117402;20;30
117502;0;2500
117602;0;400
117702;0;150
117802;0;0
117902;0;0
118002;0;0
118102;30;0
118202;0;0
118302;0;0
118402;0;60
118502;0;70
118602;0;200
118702;0;350
118802;0;1200
118902;0;30
119002;10;100
119102;0;100
119202;10;0
119302;0;270
119402;10;120
119502;0;40
119602;0;600
119702;0;1290
119802;0;500
119902;0;0
120002;0;0
120102;0;0
120202;0;350
120302;50;510
120402;10;0
120502;0;930
120602;0;2630
120702;0;0
120802;0;680
120902;0;800
121002;0;500
121102;0;2000
121202;20;0
121302;0;120
121402;0;20
121502;0;0
121602;0;0
121702;0;140
121802;0;1090
121902;0;200
122002;0;20
122102;0;300
122202;0;1000
122302;0;1500
122402;0;1300
122502;10;80
122602;20;350
122702;0;400
122802;10;1300
122902;0;0
123002;0;2000
123102;0;680
123202;20;90
123302;10;70
123402;0;70
123502;0;400
123602;10;30
123702;0;350
123802;10;0
123902;40;30
124002;100;0
124102;30;90
124202;0;10
124302;0;4000
124402;0;2540
124502;0;0
124602;50;220
124702;0;6000
124802;0;0
124902;20;30
125002;10;0
125102;80;160
125202;90;200
125302;0;0
125402;110;0
125502;20;10
125602;0;130
125702;0;1000
125802;0;8000
125902;10;0
126002;30;100
126102;0;1730
126202;0;1500
126302;0;200
126402;30;470
126502;50;80
126602;0;390
126702;0;240
126802;40;400
126902;10;0
127002;0;80
127102;0;0
127202;0;60
127302;0;2070
127402;0;120
127502;0;40
127602;0;700
127702;0;350
127802;50;70
127902;30;0
128002;0;1500
128102;0;0
128202;0;0
128302;0;200
128402;120;230
128502;3050;0
128602;0;0
128702;0;0
128802;0;0
128902;0;0
129002;0;0
129102;30;70
129202;10;40
129302;0;0
129402;0;0
129502;50;80
129602;0;300
129702;30;0
129802;0;0
129902;60;0
130002;0;0
130102;0;0
130202;0;0
130302;0;0
130402;0;0
130502;0;0
130602;0;0
130702;0;200
130802;150;0
130902;0;5000
131002;0;740
131102;0;0
131202;0;1200
131302;150;3740
131402;400;1070
131502;0;0
131602;0;320
131702;0;100
131802;0;0
131902;0;0
132002;10;0
132102;0;4100
132202;0;0
132302;70;190
132402;60;240
132502;20;120
132602;0;2500
132702;0;0
132802;0;1400
132902;20;150
133002;0;3270
133102;0;0
133202;0;1340
133302;20;50
133402;20;1280
133502;0;20000
133602;0;0
133702;0;13340
133802;0;3950
133902;0;100
134002;0;500
134102;10;190
134202;0;50
134302;0;13760
134402;0;20
134502;0;1200
134602;0;500
134702;0;2000
134802;0;200
134902;0;2000
135002;40;0
135102;0;50
135202;10;50
135302;0;130
135402;0;150
135502;0;100
135602;0;170
135702;0;200
135802;0;0
135902;20;0
136002;0;200
136102;20;0
136202;0;15000
136302;140;100
136402;0;20
136502;0;10
136602;0;0
136702;0;30
136802;0;2590
136902;20;240
137002;0;100
137102;0;400
137202;0;6200
137302;0;0
137402;0;2000
137502;0;3300
137602;0;200
137702;0;1000
137802;0;150
137902;10;20
138002;0;100
138102;0;180
138202;0;0
138302;0;0
138402;0;700
138502;10;0
138602;0;500
138702;0;600
138802;0;30
138902;0;500
139002;0;5000
139102;0;70
139202;0;100
139302;0;250
139402;110;1300
139502;0;27000
139602;0;10
139702;0;12000
139802;0;2000
139902;0;60
140002;0;200
140102;0;540
140202;0;400
140302;0;60
140402;40;40
140502;0;800
140602;0;150
140702;10;90
140802;20;480
140902;0;6300
141002;20;90
141102;0;60
141202;0;6000
141302;10;0
141402;1440;0
141502;0;10
141602;0;650
141702;0;100
141802;0;300
141902;0;1000
142002;0;0
142102;0;0
142202;20;0
142302;20;2980
142402;0;0
142502;10;0
142602;10;0
142702;0;770
142802;0;2500
142902;30;0
143002;0;360
143102;0;270
143202;0;180
143302;0;240
143402;0;2500
143502;0;3500
143602;0;0
143702;0;1000
143802;0;450
143902;10;790
144002;0;4160
144102;0;500
144202;0;0
144302;0;0
144402;0;0
144502;0;0
144602;0;0
144702;0;0
144802;0;2000
144902;0;0
145002;10;40
145102;0;0
145202;0;0
145302;0;0
145402;100;4000
145502;0;0
145602;0;0
145702;0;0
145802;0;0
145902;0;300
146002;0;0
146102;0;0
146202;0;0
146302;0;270
146402;10;0
146502;20;2000
146602;100;4000
146702;0;1000
146802;10;20
146902;190;0
147002;0;80
147102;0;1000
147202;0;780
147302;0;250
147402;0;180
147502;0;400
147602;0;50
147702;0;60
147802;0;430
147902;20;20
