id_Historico_Desastre;Event;Municipio;Fecha;Causa;Descripción de la causa;Fuente;IDimpacto_material;Muertos;Heridos;Desaparecidos;IDimpacto_humano;Casas destruidas;Casas dañadas;Pérdidas económicas;With Deaths;With Injured;With Missing;With Houses Destroyed;With Victims;Tipo_desastre;idDetalleDesastre
502120;FIRE;Medellín;5/02/1979;UNKNOWN;Posible explosión de un fogón o a consecuencia de un corto ;EL TIEMPO 1979-02-06 P.7A;212102;0;20;0;212101;150;0;0;0;10;0;10;10;Técnico;5021203
502121;FIRE;Urrao;4/02/1979;UNKNOWN;probablemente a causa de un corto circuito en la papelerìa.;EL TIEMPO 1979-02-05 P.ppal.;212202;0;0;0;212201;10;0;50000000;0;0;0;10;0;Técnico;5021213
502122;FIRE;Copacabana;3/02/1979;UNKNOWN;;EL TIEMPO 1979-02-05 P.ppal.;212302;0;0;0;212301;0;0;60000000;0;0;0;0;0;Técnico;5021223
502123;FIRE;Guadalupe;7/01/1979;UNKNOWN;;EL TIEMPO 1979-01-09 P.9A;212402;0;0;0;212401;0;0;20000000;0;0;0;0;0;Técnico;5021233
502124;FIRE;Medellín;14/12/1978;UNKNOWN;;EL TIEMPO 1978-12-15  Portada;212502;0;0;0;212501;0;0;300000000;0;0;0;0;0;Técnico;5021243
502125;FLOOD;Caucasia;12/12/1978;OVERFLOW;Por lluvias río Cauca.;BDOSSO-EL TIEMPO 1978-12-13  6D;212602;0;0;0;212601;500;0;0;0;0;0;10;10;Hidrológico;5021253
502126;LANDSLIDE;Santa Bárbara;15/11/1978;UNKNOWN;;EL TIEMPO 1978-11-16 Pag 2A;212702;10;10;0;212701;0;0;0;10;10;0;0;0;Geofísico;5021263
502127;FIRE;Salgar;8/11/1978;SHORTCIRCUIT;;EL TIEMPO 1978-11-09 Pag 13D;212802;0;0;0;212801;20;0;120000000;0;0;0;10;10;Técnico;5021273
502128;FLOOD;Medellín;31/10/1978;OVERFLOW;se desbordo la quebrada de Huesos;EL TIEMPO 1978-11-01 8C;212902;0;0;0;212901;30;500;0;0;0;0;10;10;Hidrológico;5021283
502129;LANDSLIDE;Medellín;23/10/1978;RAIN;;EL TIEMPO 1978-10-24 Pag 6C;213002;0;0;0;213001;0;0;0;0;0;0;0;0;Geofísico;5021293
