IDimpacto_material;Houses Destroyed;Houses Damaged;Losses $Local
63902;0;0;0
64002;0;0;0
64102;0;0;0
64202;0;0;0
64302;0;0;0
64402;0;0;0
64502;0;0;0
64602;0;0;0
64702;0;0;0
64802;40;0;0
64902;0;0;0
65002;0;0;0
65102;40;0;0
65202;10;0;0
65302;0;0;0
65402;0;0;0
65502;0;0;0
65602;0;0;0
65702;0;40;0
65802;0;0;0
65902;0;0;0
66002;10;0;0
66102;0;0;0
66202;0;10;0
66302;10;0;0
66402;0;0;0
66502;0;0;0
66602;0;0;0
66702;0;1640;0
66802;0;0;0
66902;0;0;0
67002;0;50;0
67102;0;0;0
67202;20;40;0
67302;0;20;0
67402;0;0;0
67502;0;0;0
67602;0;0;0
67702;0;0;0
67802;140;0;0
67902;0;250;0
68002;0;100;0
68102;0;70;0
68202;0;0;0
68302;0;0;0
68402;0;20;0
68502;0;0;0
68602;0;0;0
68702;0;0;0
68802;0;100;0
68902;0;500;0
69002;0;50;0
69102;0;0;0
69202;0;220;0
69302;0;5000;0
69402;0;30;0
69502;10;0;0
69602;10;100;0
69702;0;0;0
69802;0;940;0
69902;0;0;0
70002;0;70;0
70102;0;0;0
70202;0;20;0
70302;0;420;0
70402;0;0;0
70502;0;0;0
70602;10;770;0
70702;0;0;0
70802;0;0;0
70902;0;1130;0
71002;0;150;0
71102;0;0;0
71202;0;0;0
71302;0;0;0
71402;0;0;0
71502;0;0;0
71602;0;0;0
71702;0;0;0
71802;40;150;0
71902;0;0;0
72002;0;600;0
72102;0;0;0
72202;0;0;0
72302;0;15590;0
72402;0;0;0
72502;0;0;0
72602;20;0;0
72702;0;1000;0
72802;0;0;0
72902;0;0;0
73002;0;1390;0
73102;0;250;0
73202;0;0;0
73302;0;150;0
73402;0;530;0
73502;10;0;0
73602;0;0;0
73702;0;0;0
73802;200;100;0
73902;0;0;0
74002;30;170;0
74102;0;0;0
74202;0;150;0
74302;60;1190;0
74402;0;0;0
74502;0;0;0
74602;0;30;0
74702;0;30;0
74802;0;0;0
74902;0;100;0
75002;0;0;0
75102;0;40;0
75202;0;30;0
75302;10;50;0
75402;10;0;0
75502;0;1260;0
75602;0;20;0
75702;0;10;0
75802;0;0;0
75902;0;140;0
76002;30;0;0
76102;130;110;0
76202;0;0;0
76302;0;0;0
76402;0;0;0
76502;0;0;0
76602;0;0;0
76702;0;300;0
76802;0;0;0
76902;0;250;0
77002;0;0;0
77102;0;0;0
77202;0;0;0
77302;0;0;0
77402;0;0;0
77502;0;0;0
77602;0;0;0
77702;0;250;0
77802;0;1000;0
77902;0;0;0
78002;0;0;0
78102;0;220;0
78202;0;0;0
78302;0;0;0
78402;0;0;0
78502;0;0;0
78602;0;0;0
78702;0;0;0
78802;20;0;0
78902;0;0;0
79002;0;50;0
79102;0;0;0
79202;0;0;0
79302;0;0;0
79402;0;0;0
79502;0;0;0
79602;0;0;0
79702;0;10;0
79802;0;10;0
79902;0;0;0
80002;0;300;0
80102;0;0;0
80202;0;0;0
80302;0;0;0
80402;0;0;0
80502;0;0;0
80602;0;0;0
80702;0;0;0
80802;0;0;0
80902;0;0;0
81002;0;0;0
81102;0;0;0
81202;0;0;0
81302;0;0;0
81402;0;0;0
81502;0;0;0
81602;0;0;0
81702;0;400;0
81802;0;6700;0
81902;0;0;0
82002;0;0;0
82102;0;0;0
82202;0;0;0
82302;0;0;0
82402;0;40;0
82502;0;0;0
82602;0;0;0
82702;0;0;0
82802;0;130;0
82902;0;0;0
83002;0;0;0
83102;0;3000;0
83202;0;0;0
83302;0;0;0
83402;0;30;0
83502;0;20;0
83602;10;520;0
83702;0;1450;0
83802;10;0;0
83902;10;0;0
84002;0;0;0
84102;0;10;0
84202;0;60;0
84302;0;0;0
84402;0;0;0
84502;10;0;0
84602;30;0;0
84702;0;0;0
84802;10;0;0
84902;0;120;0
85002;0;800;0
85102;0;90;0
85202;0;50;0
85302;10;290;0
85402;0;4200;0
85502;10;0;0
85602;0;50;0
85702;0;0;0
85802;0;0;0
85902;0;0;0
86002;0;0;0
86102;0;0;0
86202;0;0;0
86302;0;0;0
86402;0;140;0
86502;0;360;0
86602;0;200;0
86702;0;40;0
86802;0;500;0
86902;0;40;0
87002;0;550;0
87102;10;20;0
87202;0;0;0
87302;0;0;0
87402;0;1500;0
87502;0;0;0
87602;0;0;0
87702;0;160;0
87802;0;0;0
87902;80;400;0
88002;0;600;0
88102;0;0;0
88202;0;60;0
88302;0;10;0
88402;10;50;0
88502;0;30;0
88602;0;100;0
88702;0;1500;0
88802;0;0;0
88902;0;0;0
89002;0;90;0
89102;0;0;0
89202;0;20;0
89302;0;490;0
89402;0;0;0
89502;0;0;0
89602;0;0;0
89702;0;0;0
89802;0;880;0
89902;0;0;0
90002;0;0;0
90102;20;40;0
90202;0;0;0
90302;0;2320;0
90402;0;20;0
90502;0;0;0
90602;10;120;0
90702;0;140;0
90802;0;210;0
90902;0;0;0
91002;0;100;0
91102;0;500;0
91202;0;0;0
91302;0;10;0
91402;0;0;0
91502;0;260;0
91602;10;0;0
91702;0;0;0
91802;0;200;0
91902;0;0;0
92002;0;0;0
92102;0;0;0
92202;10;0;0
92302;0;0;0
92402;0;5100;0
92502;10;10;0
92602;0;0;0
92702;0;400;0
92802;0;460;0
92902;0;0;0
93002;10;0;0
93102;10;30;0
93202;0;10;0
93302;0;770;0
93402;0;0;0
93502;0;10;0
93602;0;0;0
93702;20;0;0
93802;0;60;0
93902;0;30;0
94002;30;70;0
94102;0;0;0
94202;30;0;0
94302;0;1120;0
94402;0;50;0
94502;0;100;0
94602;0;390;0
94702;0;70;0
94802;0;0;0
94902;50;0;0
95002;0;2500;0
95102;10;70;0
95202;130;0;0
95302;0;610;0
95402;0;0;0
95502;0;30;0
95602;0;730;0
95702;0;0;0
95802;20;790;0
95902;0;0;0
96002;0;1250;0
96102;0;510;0
96202;0;20;0
96302;0;0;0
96402;0;0;0
96502;0;0;0
96602;0;0;0
96702;0;0;0
96802;0;0;0
96902;0;20;0
97002;10;0;0
97102;30;0;0
97202;0;0;0
97302;0;350;0
97402;0;250;0
97502;0;0;0
97602;0;0;0
97702;0;0;0
97802;0;0;0
97902;0;0;0
98002;0;0;0
98102;0;0;0
98202;0;0;0
98302;0;0;0
98402;0;0;0
98502;0;0;0
98602;0;0;0
98702;0;0;0
98802;0;0;0
98902;0;0;0
99002;0;0;0
99102;10;0;0
99202;0;0;0
99302;0;0;0
99402;0;0;0
99502;0;0;0
99602;0;0;0
99702;10;0;0
99802;0;0;0
99902;0;0;0
100002;0;0;0
100102;0;0;0
100202;0;0;0
100302;0;0;0
100402;0;0;0
100502;0;0;0
100602;10;0;0
100702;0;20;0
100802;0;0;0
100902;0;0;0
101002;0;310;0
101102;0;0;0
101202;0;20;0
101302;0;10;0
101402;0;0;0
101502;0;0;0
101602;0;0;0
101702;0;0;0
101802;0;0;0
101902;0;120;0
102002;0;600;0
102102;10;0;0
102202;0;0;0
102302;0;2000;0
102402;0;0;0
102502;0;0;0
102602;0;130;0
